record_type,n_data,N,sqrtN,M,r,R,C,delta_mode,Delta,tau,gamma,target,t,t_over_sqrtN,t_over_tau,F_exact,F_BJ,t_solution_exact,t_solution_BJ,fit_slope_through_origin
curve,6,64,8.0,1,4,16,10.0,unknown,0.06209117666122563,101.19288512538814,0.09727709599150777,0.99,0.0,0.0,0.0,0.015625000000000097,0.015625,44.99814923810376,47.1788531744472,
curve,6,64,8.0,1,4,16,10.0,unknown,0.06209117666122563,101.19288512538814,0.09727709599150777,0.99,0.06329830178819108,0.007912287723523885,0.0006255212677231026,0.015686623133236932,0.021667641633302592,44.99814923810376,47.1788531744472,
curve,6,64,8.0,1,4,16,10.0,unknown,0.06209117666122563,101.19288512538814,0.09727709599150777,0.99,0.12659660357638217,0.01582457544704777,0.0012510425354462051,0.015871456878088823,0.027673190169047235,44.99814923810376,47.1788531744472,
curve,6,64,8.0,1,4,16,10.0,unknown,0.06209117666122563,101.19288512538814,0.09727709599150777,0.99,0.18989490536457326,0.023736863170571658,0.001876563803169308,0.01617939430631571,0.03364187330531221,44.99814923810376,47.1788531744472,
curve,6,64,8.0,1,4,16,10.0,unknown,0.06209117666122563,101.19288512538814,0.09727709599150777,0.99,0.25319320715276433,0.03164915089409554,0.0025020850708924102,0.01661025732525101,0.03957391734243787,44.99814923810376,47.1788531744472,
curve,6,64,8.0,1,4,16,10.0,unknown,0.06209117666122563,101.19288512538814,0.09727709599150777,0.99,0.3164915089409554,0.039561438617619425,0.0031276063386155126,0.017163796859216714,0.04546954719160745,44.99814923810376,47.1788531744472,
curve,6,64,8.0,1,4,16,10.0,unknown,0.06209117666122563,101.19288512538814,0.09727709599150777,0.99,0.3797898107291465,0.047473726341143316,0.003753127606338616,0.017839693103134706,0.05132898638337391,44.99814923810376,47.1788531744472,
curve,6,64,8.0,1,4,16,10.0,unknown,0.06209117666122563,101.19288512538814,0.09727709599150777,0.99,0.4430881125173376,0.0553860140646672,0.004378648874061719,0.018637555847965295,0.05715245707613559,44.99814923810376,47.1788531744472,
curve,6,64,8.0,1,4,16,10.0,unknown,0.06209117666122563,101.19288512538814,0.09727709599150777,0.99,0.5063864143055287,0.06329830178819108,0.0050041701417848205,0.019556924877499826,0.06294018006455837,44.99814923810376,47.1788531744472,
curve,6,64,8.0,1,4,16,10.0,unknown,0.06209117666122563,101.19288512538814,0.09727709599150777,0.99,0.5696847160937197,0.07121058951171497,0.005629691409507923,0.020597270435930654,0.06869237478794832,44.99814923810376,47.1788531744472,
