record_type,n_data,N,sqrtN,M,r,R,C,delta_mode,Delta,tau,gamma,target,t,t_over_sqrtN,t_over_tau,F_exact,F_BJ,t_solution_exact,t_solution_BJ,fit_slope_through_origin
curve,10,1024,32.0,1,4,16,10.0,unknown,0.015522794165306407,404.7715405015526,0.024681167956178682,0.99,0.0,0.0,0.0,0.0009765625000000056,0.0009765625,178.5923226629338,186.54680988010742,
curve,10,1024,32.0,1,4,16,10.0,unknown,0.015522794165306407,404.7715405015526,0.024681167956178682,0.99,0.8102182628888458,0.02531932071527643,0.002001668056713928,0.0016166883242686961,0.020755744497841455,178.5923226629338,186.54680988010742,
curve,10,1024,32.0,1,4,16,10.0,unknown,0.015522794165306407,404.7715405015526,0.024681167956178682,0.99,1.6204365257776916,0.05063864143055286,0.004003336113427856,0.0035332775872211875,0.040143328034807246,178.5923226629338,186.54680988010742,
curve,10,1024,32.0,1,4,16,10.0,unknown,0.015522794165306407,404.7715405015526,0.024681167956178682,0.99,2.4306547886665375,0.0759579621458293,0.006005004170141785,0.006715006066312269,0.05914706617948107,178.5923226629338,186.54680988010742,
curve,10,1024,32.0,1,4,16,10.0,unknown,0.015522794165306407,404.7715405015526,0.024681167956178682,0.99,3.240873051555383,0.10127728286110572,0.008006672226855712,0.011143134120826622,0.07777455850119053,178.5923226629338,186.54680988010742,
curve,10,1024,32.0,1,4,16,10.0,unknown,0.015522794165306407,404.7715405015526,0.024681167956178682,0.99,4.051091314444229,0.12659660357638217,0.010008340283569641,0.016791705606998462,0.09603325410906471,178.5923226629338,186.54680988010742,
curve,10,1024,32.0,1,4,16,10.0,unknown,0.015522794165306407,404.7715405015526,0.024681167956178682,0.99,4.861309577333075,0.1519159242916586,0.01201000834028357,0.023627822044135403,0.11393045463092266,178.5923226629338,186.54680988010742,
curve,10,1024,32.0,1,4,16,10.0,unknown,0.015522794165306407,404.7715405015526,0.024681167956178682,0.99,5.671527840221921,0.17723524500693502,0.014011676396997496,0.03161198782128631,0.13147331713318466,178.5923226629338,186.54680988010742,
curve,10,1024,32.0,1,4,16,10.0,unknown,0.015522794165306407,404.7715405015526,0.024681167956178682,0.99,6.481746103110766,0.20255456572221145,0.016013344453711425,0.040698521177579786,0.14866885698297339,178.5923226629338,186.54680988010742,
curve,10,1024,32.0,1,4,16,10.0,unknown,0.015522794165306407,404.7715405015526,0.024681167956178682,0.99,7.291964365999612,0.22787388643748788,0.01801501251042535,0.05083602473801878,0.1655239506535503,178.5923226629338,186.54680988010742,
curve,10,1024,32.0,1,4,16,10.0,unknown,0.015522794165306407,404.7715405015526,0.024681167956178682,0.99,8.102182628888459,0.25319320715276433,0.020016680567139282,0.061967908558343665,0.18204533847420712,178.5923226629338,186.54680988010742,
curve,10,1024,32.0,1,4,16,10.0,unknown,0.015522794165306407,404.7715405015526,0.024681167956178682,0.99,8.912400891777304,0.27851252786804076,0.022018348623853212,0.07403295794276525,0.1982396273257151,178.5923226629338,186.54680988010742,
curve,10,1024,32.0,1,4,16,10.0,unknown,0.015522794165306407,404.7715405015526,0.024681167956178682,0.99,9.72261915466615,0.3038318485833172,0.02402001668056714,0.08696593775882573,0.2141132932824078,178.5923226629338,186.54680988010742,
